Date,EEM,GLD,IEF,QQQ,SPY,TLT,VNQ
2012-01-03,28.759422302246094,155.9199981689453,78.14922332763672,50.375999450683594,99.58342742919922,81.74676513671875,33.624515533447266
2012-01-04,28.597612380981445,156.7100067138672,77.90340423583984,50.588478088378906,99.73966217041016,80.77481842041016,33.049644470214844
2012-01-05,28.472566604614258,157.77999877929688,77.91828155517578,51.00458908081055,100.00518035888672,80.63107299804688,33.36009216308594
2012-01-06,28.112157821655273,157.1999969482422,78.22373962402344,51.181671142578125,99.7474136352539,81.26766204833984,33.25086212158203
2012-01-09,28.406370162963867,156.5,78.2386245727539,51.01343536376953,99.98957061767578,81.12386322021484,33.1358757019043
2012-01-10,29.024213790893555,158.63999938964844,78.08223724365234,51.385292053222656,100.85655212402344,80.98703002929688,33.503807067871094
2012-01-11,29.046283721923828,159.6699981689453,78.5365982055664,51.49152755737305,100.91120147705078,82.04106903076172,33.7394905090332
2012-01-12,29.163970947265625,160.3800048828125,78.37274169921875,51.69517135620117,101.15331268310547,81.92472839355469,33.492305755615234
2012-01-13,28.899181365966797,159.25999450683594,78.7228775024414,51.509220123291016,100.6299819946289,82.73926544189453,33.56704330444336
2012-01-17,29.450828552246094,160.5,78.79737091064453,51.978458404541016,101.02053833007812,83.1225357055664,33.84297561645508
2012-01-18,30.193721771240234,161.60000610351562,78.55150604248047,52.669036865234375,102.13743591308594,82.11634826660156,34.07867431640625
2012-01-19,30.458507537841797,161.22000122070312,78.08223724365234,52.99661636352539,102.67638397216797,80.98703002929688,34.21090316772461
2012-01-20,30.43644142150879,162.07000732421875,77.81397247314453,52.91694259643555,103.05908966064453,80.06979370117188,34.42360305786133
2012-01-23,30.73065185546875,163.16000366210938,77.64266204833984,52.934635162353516,102.79357147216797,79.56330108642578,34.59031295776367
2012-01-24,30.77478790283203,162.00999450683594,77.73200988769531,52.837257385253906,102.67638397216797,79.70703887939453,34.854759216308594
2012-01-25,31.120485305786133,166.4199981689453,78.10453033447266,53.501251220703125,103.53553771972656,79.51537322998047,35.303165435791016
2012-01-26,30.995450973510742,167.27000427246094,78.52173614501953,53.31534194946289,103.00440979003906,80.5694580078125,35.550357818603516
2012-01-27,31.15726661682129,168.97000122070312,78.76009368896484,53.47468566894531,102.95755767822266,80.82271575927734,35.561859130859375
2012-01-30,30.708587646484375,168.02999877929688,79.02835845947266,53.51897048950195,102.60607147216797,81.77413940429688,35.297420501708984
2012-01-31,30.9733829498291,169.30999755859375,79.32635498046875,53.58979797363281,102.56702423095703,82.71868896484375,35.469879150390625
2012-02-01,31.657432556152344,169.55999755859375,79.05091857910156,54.02361297607422,103.4652328491211,81.77122497558594,35.8205451965332
2012-02-02,31.74568748474121,171.0500030517578,79.1628646850586,54.191837310791016,103.62922668457031,81.73690032958984,35.90103530883789
2012-02-03,32.27527618408203,167.63999938964844,78.53592681884766,54.93550109863281,105.08199310302734,79.98041534423828,36.401180267333984
2012-02-06,32.00312423706055,167.17999267578125,78.75234985351562,54.89124298095703,105.01171112060547,80.77635192871094,36.28620529174805
2012-02-07,32.06932830810547,169.6999969482422,78.24488830566406,55.00634002685547,105.27725982666016,79.77461242675781,36.19422149658203
2012-02-08,32.2973518371582,168.5,78.2822036743164,55.298519134521484,105.58966827392578,79.83635711669922,36.25745391845703
2012-02-09,32.28264236450195,168.02000427246094,78.1031265258789,55.6969108581543,105.72248077392578,79.23941040039062,35.99300765991211
2012-02-10,31.56916046142578,167.13999938964844,78.54342651367188,55.307369232177734,104.94144439697266,80.26856231689453,35.659576416015625
2012-02-13,32.08403778076172,167.50999450683594,78.4911880493164,55.82086181640625,105.72248077392578,80.37152099609375,36.02175521850586
2012-02-14,31.819255828857422,167.1199951171875,78.65538024902344,55.96250534057617,105.58966827392578,80.79690551757812,35.653831481933594
2012-02-15,31.907506942749023,168.11000061035156,78.71513366699219,55.572959899902344,105.09762573242188,80.65280151367188,35.44114303588867
2012-02-16,32.25321960449219,168.0,78.35685729980469,56.33436584472656,106.26136016845703,80.00786590576172,35.81478500366211
2012-02-17,32.31205368041992,167.35000610351562,78.27471923828125,56.157283782958984,106.54255676269531,79.98733520507812,35.84354782104492
2012-02-21,32.179656982421875,171.02000427246094,77.99114990234375,56.316646575927734,106.58944702148438,79.10221862792969,35.285911560058594
2012-02-22,32.23850631713867,172.94000244140625,78.2971420288086,56.05990219116211,106.24579620361328,80.09712982177734,34.986995697021484
2012-02-23,32.179656982421875,173.02000427246094,78.40908813476562,56.4317512512207,106.71434783935547,80.09712982177734,35.423885345458984
2012-02-24,32.5032958984375,172.22999572753906,78.46878814697266,56.62651443481445,106.94867706298828,80.61849212646484,35.469879150390625
2012-02-27,32.179656982421875,171.6999969482422,78.7299575805664,56.70621871948242,107.12834167480469,81.33212280273438,35.41238784790039
2012-02-28,32.62833023071289,173.49000549316406,78.76730346679688,57.28165054321289,107.44078826904297,81.06446838378906,35.20543670654297
2012-02-29,32.60627365112305,164.2899932861328,78.45386505126953,57.02493667602539,107.01897430419922,80.57047271728516,35.06171798706055
2012-03-01,32.91519546508789,166.61000061035156,78.19970703125,57.47645950317383,107.57354736328125,79.81200408935547,35.27443313598633
2012-03-02,32.83427810668945,166.33999633789062,78.513671875,57.432186126708984,107.2455062866211,80.56159973144531,35.222679138183594
2012-03-05,32.26792907714844,165.64999389648438,78.3567123413086,56.83901596069336,106.80812072753906,79.92200469970703,35.5790901184082
2012-03-06,31.186681747436523,162.6999969482422,78.68558502197266,56.281227111816406,105.24600982666016,80.89165496826172,35.107696533203125
