,CAGR,Vol,Sharpe,Sortino,MaxDrawdown,Calmar,AvgTurnover,RealizedVol,VolMinusTarget,VaR95,CVaR95
equal_weight,0.05828169909673564,0.10498949039136468,0.5551193636570816,0.6849075332287969,-0.2690312093999907,0.21663545737581497,0.0003314550878355982,0.10498949039136468,0.004989490391364676,-0.009854821595757284,-0.015697832170319198
min_variance,0.05828169909673564,0.10498949039136468,0.5551193636570816,0.6849075332287969,-0.2690312093999907,0.21663545737581497,0.0003314550878355982,0.10498949039136468,0.004989490391364676,-0.009854821595757284,-0.015697832170319198
mean_variance,0.05881864090618416,0.10549042041250618,0.5575732912636212,0.7235663465022267,-0.27963429560860953,0.21034129872435153,0.013699292904850955,0.10549042041250618,0.005490420412506178,-0.010780795541955506,-0.016195322612776966
risk_parity,0.04872762923921137,0.12877471082416195,0.37839439846032735,0.41714673171653716,-0.3372426348809767,0.14448834221808535,0.029820797316749373,0.12877471082416195,0.028774710824161942,-0.010362893371327182,-0.01826472167089582
vol_target,0.050834597517219304,0.11356189771501989,0.4476377952470218,0.5264027201840065,-0.261230818388994,0.19459647920071377,0.0023827036417225856,0.11356189771501989,0.01356189771501988,-0.010446950651669193,-0.017148615369973613
